"txnHash","ourTxnHash","network","from","to","value","originalGasLimit","gasLimit","methodName","params","createAt"
"0x2aa6b636b8fd8db9576ddb8bf8603f652982dbc00f665a71624b72b20cddbdca",,"goerli","0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x4648a43B2C14Da09FdF82B161150d3F634f40491","200000000000000000","217022","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x02c68af0bb140000""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x03b0f8f4b6e88e47""},""path"":[""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""to"":""0x91a669C006A89A2983985a5db3a314E4AfC579FD""}}}}]","{""maxFeePerGas"":9000023070,""maxPriorityFeePerGas"":null,""gasLimit"":217022}",
"0xeb08c432bffd5b7eadbcb70147d1176e15f0f90233dbf3eadbcb608df3ca87c7",,"goerli","0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489","0x4648a43B2C14Da09FdF82B161150d3F634f40491","200000000000000000","264109","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x02c68af0bb140000""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x03b194aeb095b509""},""path"":[""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""to"":""0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489""}}}}]","{""maxFeePerGas"":9000027018,""maxPriorityFeePerGas"":null,""gasLimit"":264109}",
"0x91abad31f2339c1b34600704f0f1df6d4f1c42e5bfebff79d53aa313914b7547",,"goerli","0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489","0x4648a43B2C14Da09FdF82B161150d3F634f40491","200000000000000000","206710","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x02c68af0bb140000""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x03b1228575a9e6c7""},""path"":[""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""to"":""0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489""}}}}]","{""maxFeePerGas"":9000040638,""maxPriorityFeePerGas"":null,""gasLimit"":206710}",
"0x91abad31f2339c1b34600704f0f1df6d4f1c42e5bfebff79d53aa313914b7547",,"goerli","0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489","0x4648a43B2C14Da09FdF82B161150d3F634f40491","200000000000000000","206710","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x02c68af0bb140000""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x03b1228575a9e6c7""},""path"":[""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""to"":""0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489""}}}}]","{""maxFeePerGas"":9000040638,""maxPriorityFeePerGas"":9000000000,""gasLimit"":206710}",
"0x220e2c72730f4dcd66a6fb5e655d98113508c507e8c16ef4ab7d7c4d70c4b4ef",,"goerli","0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489","0x4648a43B2C14Da09FdF82B161150d3F634f40491","0","199005","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x0590d279926556fc""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x04239dabae234106""},""path"":[""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""tokenOut"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""to"":""0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489""}}}}]","{""maxFeePerGas"":9000048864,""maxPriorityFeePerGas"":9000000000,""gasLimit"":199005}",
"0x5bc09c77c0e36a35bed720033ac2ee460d21b6944df6c2b7ed15ac0f30e4a5e6",,"goerli","0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489","0x4648a43B2C14Da09FdF82B161150d3F634f40491","0","198986","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x01db1ff44617c82b""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x0161466b05cbd724""},""path"":[""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""tokenOut"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""to"":""0x7259a8E5637f8B3336Dd9eB20E6fed7D9C67F489""}}}}]","{""maxFeePerGas"":9000060282,""maxPriorityFeePerGas"":9000000000,""gasLimit"":198986}",
"0xe8cfc24a4ee6f7e57dcfb512775e965ba6313b0b2efddf749f41981e3f58ce67",,"goerli","0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x4648a43B2C14Da09FdF82B161150d3F634f40491","0","227191","NAN","[{""data"":{""methodName"":""exactInputSingle"",""params"":{""params"":{""amountIn"":{""type"":""BigNumber"",""hex"":""0x03b5b2854c4d8efe""},""amountOutMinimum"":{""type"":""BigNumber"",""hex"":""0x02c2031d32fcc9c2""},""path"":[""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"",""tokenOut"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""to"":""0x91a669C006A89A2983985a5db3a314E4AfC579FD""}}}}]","{""maxFeePerGas"":9000070320,""maxPriorityFeePerGas"":9000000000,""gasLimit"":227191}",
"0x8aec7369230d3df76353c25f52f005e877adbc2297798db3827921e11a86c354",,"goerli","0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x4648a43B2C14Da09FdF82B161150d3F634f40491","45048447843986","323269","NAN","[{""data"":{""methodName"":""exactOutputSingle"",""params"":{""params"":{""amountOut"":{""type"":""BigNumber"",""hex"":""0x0de0b6b3a7640000""},""amountInMaximum"":{""type"":""BigNumber"",""hex"":""0x28f8a8bb3e92""},""path"":[""0x70cba46d2e933030e2f274ae58c951c800548aef"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x70cba46d2e933030e2f274ae58c951c800548aef"",""to"":""0x91a669C006A89A2983985a5db3a314E4AfC579FD""}}}}]","{""maxFeePerGas"":9000060978,""maxPriorityFeePerGas"":9000000000,""gasLimit"":323269}",
"0xf48049fe33aee6ca014a8431ed7a932968420ec1c37285f4a194399b6a1b35f2",,"goerli","0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x4648a43B2C14Da09FdF82B161150d3F634f40491","45308132012610","226627","NAN","[{""data"":{""methodName"":""exactOutputSingle"",""params"":{""params"":{""amountOut"":{""type"":""BigNumber"",""hex"":""0x0de0b6b3a7640000""},""amountInMaximum"":{""type"":""BigNumber"",""hex"":""0x29351f1d3242""},""path"":[""0x70cba46d2e933030e2f274ae58c951c800548aef"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x70cba46d2e933030e2f274ae58c951c800548aef"",""to"":""0x91a669C006A89A2983985a5db3a314E4AfC579FD""}}}}]","{""maxFeePerGas"":16500157113,""maxPriorityFeePerGas"":16500000000,""gasLimit"":226627}",
"0xa93cbdb4e97b1e9647595afbfbe4a747ef5d3bdd36ecbaa8a1a928361af793ad",,"goerli","0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x4648a43B2C14Da09FdF82B161150d3F634f40491","45332722078043","226639","NAN","[{""data"":{""methodName"":""exactOutputSingle"",""params"":{""params"":{""amountOut"":{""type"":""BigNumber"",""hex"":""0x0de0b6b3a7640000""},""amountInMaximum"":{""type"":""BigNumber"",""hex"":""0x293ad8cbd15b""},""path"":[""0x70cba46d2e933030e2f274ae58c951c800548aef"",""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6""],""tokenIn"":""0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6"",""tokenOut"":""0x70cba46d2e933030e2f274ae58c951c800548aef"",""to"":""0x91a669C006A89A2983985a5db3a314E4AfC579FD""}}}}]","{""maxFeePerGas"":15000142050,""maxPriorityFeePerGas"":15000000000,""gasLimit"":226639}",
